0,0,0,0,0,0,0,0.003,0.06,0.14,0.14,0.657
10,0,0,0,0,0,0,0.006,0.07,0.15,0.15,0.624
20,0,0,0,0,0,0,0.016,0.08,0.16,0.16,0.584
30,0,0,0,0,0,0,0.026,0.09,0.17,0.17,0.544
39.88,0,0,0,0,0,0,0.03655572,0.10045221,0.19114056,0.18735535,0.48449616
43.71,0,0,0,0,0,0,0.04616398,0.11882736,0.232967,0.21774831,0.38429335
47.78,0,0,0,0,0,0,0.06135175,0.15673915,0.30196948,0.23170735,0.24823228
52.4,0,0,0,0,0,0,0.07641743,0.17794505,0.29928566,0.20533519,0.24101667
57.37,0,0,0,0,0,0,0.11763634,0.21016222,0.28484366,0.21463863,0.17271915
62.93,0,0,0,0,0,0,0.13460957,0.22809772,0.31873781,0.16729305,0.15126185
68.88,0,0,0,0,0,0.01669156,0.1702006,0.25492967,0.34070435,0.16726706,0.05020676
75.46,0,0,0,0,0,0.02463306,0.21565677,0.31644548,0.28956133,0.12322081,0.03048254
82.54,0,0,0,0,0,0.03159421,0.27714368,0.30515543,0.23799811,0.11913704,0.02897154
90.29,0,0,0,0,0,0.04100832,0.31625302,0.2977743,0.24930118,0.08837698,0.00728622
98.96,0,0,0,0,0,0.05670927,0.3807227,0.30470991,0.19942148,0.05843664,0
108.51,0,0,0,0,0,0.07938597,0.40626507,0.29929853,0.17163485,0.04341557,0
118.68,0,0,0,0,0,0.10990696,0.44968243,0.2607182,0.13886959,0.04082282,0
130.22,0,0,0,0,0,0.14363545,0.4904822,0.2533473,0.0863596,0.02617546,0
142.23,0,0,0,0,0,0.1990713,0.53896342,0.18794095,0.05914792,0.01487641,0
155.68,0,0,0,0,0,0.26179507,0.53488812,0.15236819,0.05094862,0,0
170.81,0,0,0,0,0.01946236,0.31744122,0.51473688,0.12165401,0.02670553,0,0
187.15,0,0,0,0,0.02250474,0.40464474,0.50064065,0.07220987,0,0,0
204.88,0,0,0,0,0.03387647,0.46796508,0.43369336,0.06446509,0,0,0
224.28,0,0,0,0,0.08477499,0.51572349,0.36684581,0.03265571,0,0,0
245.52,0,0,0,0,0.10670594,0.62432399,0.26897006,0,0,0,0
269.26,0,0,0,0,0.18504243,0.60587073,0.20908684,0,0,0,0
294.57,0,0,0,0,0.30078925,0.5853987,0.11381205,0,0,0,0
322.77,0,0,0,0,0.42988951,0.49617499,0.0739355,0,0,0,0
352.94,0,0,0,0,0.54548205,0.42940436,0.0251136,0,0,0,0
387.35,0,0,0,0,0.7218815,0.2781185,0,0,0,0,0
423.52,0,0,0,0,0.80286197,0.19713803,0,0,0,0,0
463.28,0,0,0,0.0265629,0.8769367,0.0965004,0,0,0,0,0
508.03,0,0,0,0.05687231,0.90518371,0.03794398,0,0,0,0,0
557.06,0,0,0,0.11624311,0.86283544,0.02092145,0,0,0,0,0
609.85,0,0,0,0.25562178,0.72913165,0.01524656,0,0,0,0,0
668.93,0,0,0,0.58183405,0.41816595,0,0,0,0,0,0
729.84,0,0,0,0.80986299,0.19013701,0,0,0,0,0,0
801.58,0,0,0,0.94686133,0.05313867,0,0,0,0,0,0
876.67,0,0,0,0.97619253,0.02380747,0,0,0,0,0,0
961.49,0,0,0,1,0,0,0,0,0,0,0
1054.16,0,0,0,1,0,0,0,0,0,0,0
1151.22,0,0,0.04180514,0.95819486,0,0,0,0,0,0,0
1262.08,0,0,0.30931616,0.69068384,0,0,0,0,0,0,0
1379.59,0,0,0.889254,0.110746,0,0,0,0,0,0,0
1517.67,0,0,1,0,0,0,0,0,0,0,0
1657.45,0,0,1,0,0,0,0,0,0,0,0
1819.16,0,0,1,0,0,0,0,0,0,0,0
1993.12,0,0,1,0,0,0,0,0,0,0,0
2176.01,0,0.23951635,0.76048365,0,0,0,0,0,0,0,0
2386.73,0,0.98671989,0.01328011,0,0,0,0,0,0,0,0
2616.72,0,1,0,0,0,0,0,0,0,0,0
2872.02,0,1,0,0,0,0,0,0,0,0,0
3136.52,0,1,0,0,0,0,0,0,0,0,0
3329,0,1,0,0,0,0,0,0,0,0,0
3330,0.98,0.02,0,0,0,0,0,0,0,0,0
3384,1,0,0,0,0,0,0,0,0,0,0
3750,1,0,0,0,0,0,0,0,0,0,0
